DesilKesejahteraan,PrioritasVerval,JenisKelamin,HubungaKepalaKeluarga,Pekerjaan,Usia2023,PenerimaSEMBAKO
1,1,1,0,1,18,0
1,1,0,0,1,15,0
1,1,0,2,2,53,0
1,1,1,1,2,47,0
1,1,1,0,2,24,0
1,1,0,0,1,17,0
1,1,0,2,0,47,0
1,1,1,1,1,44,0
1,1,1,0,1,12,0
1,1,0,0,1,6,0
1,1,0,2,0,64,0
1,1,1,1,1,57,1
1,1,0,0,1,44,0
1,1,0,2,2,40,0
1,1,1,1,5,41,0
1,1,1,0,1,14,0
1,1,1,0,1,10,0
1,1,1,0,1,1,0
1,1,1,3,1,68,0
1,1,0,2,2,61,0
1,1,1,1,2,48,1
1,1,0,0,2,29,0
1,1,0,0,1,23,0
1,1,0,2,0,69,0
1,1,1,1,0,67,1
1,1,0,0,0,39,0
1,1,0,0,0,36,0
1,1,0,2,1,71,0
1,1,1,1,1,67,1
1,0,0,2,1,63,0
1,1,1,1,1,58,1
1,1,1,0,2,31,0
1,1,0,0,0,30,0
1,1,0,0,2,27,0
1,1,1,0,2,24,0
1,1,1,0,1,20,0
1,1,1,0,1,18,0
1,1,0,2,4,47,0
1,1,1,1,1,42,1
1,1,1,0,1,18,0
1,1,1,0,1,14,0
1,0,0,0,1,9,0
1,0,0,2,2,48,1
1,0,1,1,4,45,0
1,0,1,0,2,22,0
1,0,0,0,1,13,0
1,0,1,3,1,65,0
1,0,0,2,2,46,0
1,0,1,1,1,45,0
1,0,0,0,1,23,0
1,0,0,0,1,18,0
1,0,1,0,1,12,0
1,0,0,2,4,53,0
1,0,1,1,1,44,1
1,0,0,0,1,22,0
1,0,0,0,1,18,0
1,0,0,0,1,10,0
1,0,0,2,4,44,0
1,0,1,1,5,39,0
1,0,0,0,1,15,0
1,0,0,0,1,9,0
1,1,0,2,2,38,0
1,1,1,1,1,37,0
1,0,0,0,1,14,0
1,0,0,0,1,11,0
1,1,0,2,2,36,0
1,0,1,1,1,31,0
1,0,0,0,1,8,0
1,0,1,0,1,4,0
1,0,0,2,5,65,0
1,0,1,1,1,65,1
1,0,1,3,1,87,0
1,0,0,2,2,51,0
1,0,1,1,1,43,0
1,0,0,0,1,23,0
1,1,1,0,1,21,0
1,0,0,0,1,14,0
1,1,0,2,2,41,0
1,1,1,1,1,41,0
1,1,0,0,1,20,0
1,1,1,0,1,16,0
1,1,0,0,1,13,0
1,1,0,0,1,11,0
1,0,1,0,1,7,0
1,1,0,0,1,5,0
1,1,0,2,3,44,0
1,1,1,1,2,39,1
1,1,0,0,1,15,0
1,1,1,0,1,11,0
1,1,0,0,1,7,0
1,1,1,2,5,66,1
1,1,0,0,5,20,0
1,1,0,3,1,88,0
1,1,1,2,2,45,1
1,1,1,0,2,23,0
1,1,1,0,1,16,0
1,1,0,0,1,8,0
1,1,0,2,0,56,0
1,1,1,1,1,45,0
1,0,0,0,2,27,0
1,1,0,0,2,25,0
1,1,0,0,1,16,0
1,1,1,0,1,10,0
1,1,0,2,5,30,1
1,1,1,1,5,31,0
1,1,1,0,1,8,0
1,1,0,0,1,5,0
1,1,0,2,5,37,1
1,1,1,1,1,37,0
1,1,1,0,1,7,0
1,1,0,0,1,3,0
1,1,0,2,5,34,0
1,1,1,1,5,31,0
1,1,0,0,1,12,0
1,1,0,0,1,9,0
1,1,1,0,1,7,0
1,1,0,2,2,55,0
1,1,1,1,2,43,0
1,1,1,0,1,20,0
1,1,0,0,1,15,0
1,1,0,2,2,53,0
1,1,1,1,2,53,0
1,1,0,0,2,29,0
1,1,1,0,1,18,0
1,1,1,3,1,68,0
1,1,0,2,5,46,0
1,1,1,1,1,47,0
1,1,0,0,1,20,0
1,1,0,0,1,16,0
1,1,0,2,5,65,1
1,1,0,0,5,41,0
1,1,1,0,5,39,0
1,1,1,0,5,31,0
1,1,1,0,5,24,0
1,1,0,0,5,18,0
1,1,1,3,6,10,0
1,1,0,2,2,43,0
1,1,1,1,1,44,0
1,0,0,0,1,21,0
1,1,1,0,1,10,0
1,1,1,2,5,37,1
1,1,1,0,1,19,0
1,1,0,0,1,13,0
1,1,1,0,6,9,0
1,1,0,2,2,47,0
1,1,1,1,2,44,0
1,1,1,3,2,86,0
1,1,1,3,1,16,0
1,0,0,2,5,36,0
1,1,1,1,1,43,0
1,1,0,0,1,9,0
1,1,0,2,5,56,1
1,1,0,0,5,33,0
1,1,0,0,5,31,0
1,1,0,0,5,28,0
1,1,1,2,1,68,1
1,1,0,0,2,39,0
1,1,1,0,2,37,0
1,1,0,2,2,46,0
1,1,1,1,1,40,0
1,1,0,0,1,15,0
1,1,0,0,1,12,0
1,1,0,0,1,9,0
1,1,0,0,1,7,0
1,0,0,2,2,36,0
1,0,1,1,1,33,0
1,0,1,0,1,11,0
1,0,0,2,2,33,0
1,1,1,1,2,31,0
1,1,1,0,1,8,0
1,1,0,0,1,3,0
1,1,0,2,0,71,0
1,1,1,1,0,60,0
1,1,0,0,0,39,0
1,1,0,0,0,27,0
1,1,0,0,2,25,0
1,1,0,2,2,55,0
1,1,1,1,2,48,1
1,1,0,0,2,26,0
1,1,0,0,2,21,0
1,1,1,0,1,17,0
1,1,1,0,1,11,0
1,1,0,2,2,40,0
1,1,1,1,2,41,0
1,1,0,0,1,19,0
1,1,1,0,1,14,0
1,1,1,0,1,10,0
1,1,0,2,2,43,0
1,1,1,1,1,46,1
1,1,0,0,1,19,0
1,1,0,0,1,16,0
1,1,0,0,1,12,0
1,1,1,0,1,10,0
1,1,0,2,2,73,0
1,1,1,1,2,71,0
1,1,0,0,2,31,0
1,1,0,2,0,37,0
1,1,1,1,2,40,0
1,1,1,0,1,16,0
1,1,0,0,1,10,0
1,1,0,2,2,54,0
1,1,1,1,1,43,0
1,1,1,0,1,19,0
1,1,1,3,1,84,0
1,1,0,2,0,35,0
1,1,1,1,0,36,0
1,1,1,0,1,12,0
1,1,0,0,1,8,0
1,1,0,2,0,55,0
1,0,1,1,2,57,0
1,0,1,0,2,32,0
1,0,0,0,2,27,0
1,1,0,2,2,39,0
1,1,1,1,2,48,0
1,1,0,0,2,26,0
1,1,1,0,1,16,0
1,1,1,0,1,6,0
1,1,0,2,2,48,0
1,1,1,3,2,46,0
1,1,0,2,2,88,0
1,1,1,1,2,71,1
1,1,1,0,2,40,0
1,1,1,3,1,11,0
1,1,0,2,2,65,0
1,1,1,1,5,63,0
1,0,0,0,2,28,0
1,1,0,2,2,48,0
1,1,1,1,2,47,1
1,1,0,0,1,22,0
1,1,1,0,1,17,0
1,1,1,3,1,76,0
1,1,0,2,2,42,0
1,1,1,1,2,37,0
1,1,1,0,1,17,0
1,1,0,0,1,11,0
1,1,0,3,1,70,0
1,1,0,3,1,10,0
1,1,0,2,0,69,0
1,1,1,1,0,67,0
1,1,1,0,5,48,0
1,1,0,0,2,46,0
1,1,0,0,2,41,0
1,1,0,2,2,47,0
1,1,1,1,2,47,1
1,1,0,0,1,19,0
1,1,1,0,1,10,0
1,1,0,2,4,49,0
1,1,1,1,2,38,0
1,1,0,0,1,11,0
1,1,0,0,1,9,0
1,1,1,2,1,72,1
1,1,0,0,2,44,0
1,1,0,0,1,33,0
1,1,0,2,2,44,0
1,1,1,1,2,39,0
1,0,0,0,1,15,0
1,1,0,0,1,9,0
1,1,0,2,2,51,0
1,1,1,1,0,46,0
1,1,0,0,2,25,0
1,1,1,0,1,18,0
1,0,0,2,2,44,0
1,0,1,1,1,36,0
1,0,1,0,1,10,0
1,0,0,0,1,5,0
1,0,0,2,2,38,0
1,0,1,1,2,42,0
1,0,1,0,1,19,0
1,0,1,0,1,14,0
1,0,1,0,1,9,0
1,1,0,2,2,63,0
1,1,1,1,2,58,1
1,1,0,0,5,33,0
1,1,0,0,1,29,0
1,1,1,0,2,26,0
1,1,1,0,1,17,0
1,1,0,2,2,49,0
1,1,1,1,1,41,0
1,1,0,0,1,17,0
1,1,1,0,1,11,0
1,1,1,0,1,4,0
1,0,0,2,2,43,0
1,1,1,1,1,30,0
1,1,0,0,1,9,0
1,1,1,0,1,3,0
1,1,0,2,1,68,0
1,1,1,1,1,67,0
1,1,0,2,2,43,0
1,1,1,1,1,39,0
1,1,0,0,1,13,0
1,1,0,0,1,11,0
1,1,1,0,1,8,0
1,1,0,2,2,59,0
1,1,1,1,2,51,1
1,1,1,0,1,11,0
1,1,0,0,1,9,0
1,1,1,3,1,45,0
1,1,0,2,2,62,0
1,1,1,1,1,55,0
1,1,0,0,2,29,0
1,0,0,0,5,27,0
1,1,1,2,1,77,1
1,1,0,0,2,45,0
1,1,0,2,2,48,0
1,1,1,1,2,47,1
1,1,0,0,2,23,0
1,1,0,0,1,20,0
1,1,0,0,1,18,0
1,1,0,2,2,33,0
1,1,1,1,2,33,1
1,1,0,0,1,11,0
1,1,0,0,1,5,0
1,1,0,2,2,46,0
1,1,1,1,2,36,0
1,1,1,0,1,13,0
1,1,0,0,1,9,0
1,1,0,2,2,37,0
1,1,1,1,1,33,0
1,1,0,0,1,7,0
1,1,1,0,1,4,0
1,1,1,2,4,56,1
1,1,0,0,2,30,0
1,1,0,0,2,21,0
1,1,0,0,1,18,0
1,1,1,2,1,72,1
1,1,0,0,2,41,0
1,1,1,0,2,38,0
1,1,0,2,5,66,0
1,1,1,1,5,57,0
1,1,0,0,2,27,0
1,1,0,2,1,78,0
1,1,0,0,2,39,0
1,1,0,0,2,36,0
1,1,0,2,2,31,1
1,1,1,1,1,25,0
1,1,0,0,1,5,0
1,0,1,2,2,53,1
1,1,0,0,2,24,0
1,0,0,0,1,16,0
1,1,0,2,2,55,0
1,0,1,1,2,53,1
1,1,0,0,5,25,0
1,1,0,0,1,20,0
1,1,0,2,5,76,0
1,0,0,0,2,45,0
1,1,0,0,2,42,0
1,1,0,0,6,40,0
1,1,0,0,2,22,0
1,1,0,2,1,81,0
1,1,1,1,1,78,1
1,1,0,2,4,51,0
1,1,1,1,4,55,0
1,1,0,0,2,25,0
1,1,1,0,1,13,0
1,1,1,0,1,12,0
1,1,0,2,5,53,0
1,1,1,1,2,56,1
1,1,0,0,2,21,0
1,1,0,0,1,14,0
1,1,0,0,1,12,0
1,1,1,2,5,81,1
1,1,1,0,5,55,0
1,1,1,2,5,66,1
1,1,0,0,1,28,0
1,1,0,2,4,57,0
1,1,1,1,1,46,0
1,1,0,0,2,25,0
1,1,1,0,4,22,0
1,1,1,0,1,16,0
1,1,1,0,1,7,0
1,1,1,2,5,73,1
1,0,1,0,0,50,0
1,1,1,3,1,29,0
1,1,0,2,1,50,0
1,1,1,1,1,49,1
1,1,0,0,0,28,0
1,1,0,0,1,23,0
1,1,1,0,1,16,0
1,1,0,2,3,64,0
1,1,1,1,1,45,0
1,1,0,0,2,25,0
1,0,1,0,1,16,0
1,1,0,0,1,10,0
1,1,0,2,3,51,0
1,1,1,1,3,42,0
1,1,1,0,1,22,0
1,1,0,0,1,10,0
1,1,0,0,1,10,0
1,1,1,0,1,8,0
1,1,0,0,1,4,0
1,1,0,0,1,2,0
1,1,0,2,2,41,0
1,1,1,1,2,39,0
1,1,1,0,1,15,0
1,0,1,0,1,9,0
1,1,0,2,0,48,0
1,1,1,1,1,51,0
1,1,0,0,1,16,0
1,1,0,0,1,14,0
1,1,1,0,1,8,0
1,1,0,2,4,44,0
1,1,1,1,4,36,0
1,1,0,0,1,10,0
1,1,0,2,0,54,0
1,1,1,1,1,50,0
1,1,1,0,2,22,0
1,1,1,0,1,20,0
1,1,0,2,0,41,0
1,1,1,1,0,41,0
1,1,1,0,1,14,0
1,1,1,0,1,12,0
1,1,1,0,1,7,0
1,1,0,2,4,46,0
1,1,1,1,2,43,0
1,1,0,0,4,20,0
1,1,1,0,1,10,0
1,1,1,0,1,9,0
1,1,0,2,0,48,0
1,1,1,1,2,46,0
1,1,0,0,1,16,0
1,1,1,0,1,6,0
1,1,0,2,0,41,0
1,1,1,1,2,43,0
1,1,0,0,1,18,0
1,1,1,0,1,5,0
1,1,0,2,1,82,0
1,1,1,1,1,74,1
1,1,1,0,4,49,0
1,1,0,3,2,24,0
1,1,1,3,2,21,0
1,1,0,2,2,44,0
1,1,1,1,1,35,0
1,1,1,0,1,14,0
1,1,0,0,1,5,0
1,1,0,2,0,53,0
1,1,1,1,0,60,0
1,1,0,0,1,16,0
1,1,0,0,1,11,0
1,1,0,2,4,40,0
1,1,1,1,4,35,0
1,1,0,0,1,17,0
1,1,1,0,1,9,0
1,1,1,0,1,6,0
1,1,0,2,2,40,0
1,0,1,1,2,40,0
1,1,1,0,1,20,0
1,1,0,0,1,15,0
1,1,1,0,1,10,0
1,1,0,2,2,44,0
1,1,1,1,1,31,0
1,1,0,0,1,11,0
1,1,0,0,1,8,0
1,1,0,2,0,30,0
1,1,1,1,5,30,1
1,1,0,0,1,3,0
1,1,0,2,2,51,0
1,1,1,1,5,41,0
1,0,0,0,1,18,0
1,0,0,0,1,9,0
1,1,0,2,2,54,0
1,1,1,1,2,53,1
1,1,0,0,2,23,0
1,1,0,0,1,19,0
1,1,0,2,1,64,0
1,1,1,1,1,61,0
1,1,0,0,2,33,0
1,1,1,3,1,87,0
1,1,0,2,2,64,0
1,1,1,1,1,55,0
1,1,0,0,1,35,0
1,1,0,0,1,12,0
1,1,0,2,0,63,0
1,1,1,1,1,47,1
1,1,1,0,2,24,0
1,1,0,0,1,12,0
1,1,1,0,1,9,0
1,1,0,0,1,6,0
1,0,0,2,2,37,0
1,0,1,1,1,37,0
1,0,0,0,1,9,0
1,0,1,2,1,72,1
1,1,1,0,0,53,0
1,1,0,2,4,49,0
1,1,1,1,4,42,0
1,1,1,0,1,7,0
1,1,1,0,1,4,0
1,1,0,2,2,41,0
1,1,1,1,2,35,0
1,1,1,0,1,17,0
1,1,0,0,1,12,0
1,1,0,2,1,66,0
1,1,0,0,2,44,0
1,1,0,0,2,40,0
1,1,0,2,2,46,0
1,1,1,1,2,39,0
1,1,0,0,1,19,0
1,1,0,0,1,14,0
1,1,1,0,1,12,0
1,1,1,0,1,9,0
1,0,0,2,4,47,0
1,0,1,1,4,45,0
1,0,0,0,1,23,0
1,0,1,0,1,21,0
1,0,0,0,1,17,0
1,0,1,0,1,15,0
1,0,1,0,1,13,0
1,1,1,0,1,11,0
1,1,0,2,2,31,0
1,1,1,1,1,34,0
1,1,1,0,1,9,0
1,1,0,0,1,8,0
1,1,0,2,2,62,0
1,1,1,1,0,56,0
1,1,0,0,1,23,0
1,1,0,2,1,61,0
1,1,1,1,0,49,0
1,0,1,0,2,15,0
1,1,1,0,1,12,0
1,1,1,2,1,71,1
1,1,1,0,0,53,0
1,1,0,0,0,48,0
1,0,0,3,1,14,0
1,1,0,2,2,46,0
1,1,1,1,4,36,1
1,1,0,0,1,16,0
1,1,0,0,1,12,0
1,1,0,0,1,8,0
1,1,1,3,1,80,0
1,1,0,2,2,64,0
1,1,1,1,2,48,1
1,1,0,0,2,22,0
1,1,0,0,2,20,0
1,1,1,0,1,12,0
1,0,0,2,2,36,0
1,0,1,1,1,36,0
1,0,1,0,1,15,0
1,0,1,0,1,3,0
1,0,0,2,2,45,0
1,1,1,1,2,43,0
1,1,1,0,1,15,0
1,0,0,0,1,2,0
1,1,1,2,1,52,1
1,1,0,0,4,35,0
1,1,0,0,4,27,0
1,1,0,0,1,18,0
1,1,0,2,0,54,0
1,0,1,1,1,51,0
1,0,1,0,2,22,0
1,0,1,0,2,21,0
1,0,0,0,2,21,0
1,0,0,2,1,35,0
1,0,1,1,2,34,0
1,1,1,0,1,14,0
1,1,1,0,1,11,0
1,1,0,2,2,51,0
1,0,1,1,1,44,0
1,1,1,0,1,4,0
1,0,0,2,0,59,0
1,0,1,1,1,53,0
1,0,0,0,2,37,0
1,0,0,0,2,27,0
2,1,0,2,2,58,0
2,1,1,1,1,51,0
2,1,0,0,1,13,0
2,1,0,0,1,21,0
2,1,0,0,2,31,0
2,0,0,2,2,48,1
2,0,1,1,2,45,0
2,0,0,0,1,13,0
2,0,1,0,2,22,0
2,0,1,3,0,65,0
2,1,0,2,2,35,0
2,1,1,1,1,37,0
2,1,0,0,1,8,0
2,1,1,0,1,10,0
2,1,1,0,1,13,0
2,1,0,2,0,34,0
2,1,1,1,1,35,1
2,1,1,0,1,3,0
2,1,0,0,1,7,0
2,1,0,2,4,35,0
2,1,1,1,1,38,0
2,1,0,0,1,8,0
2,1,0,2,3,48,0
2,1,1,1,3,40,0
2,1,0,0,1,9,0
2,1,0,0,1,15,0
2,1,0,2,3,62,0
2,1,1,1,1,58,0
2,1,0,0,2,24,0
2,1,0,0,3,26,0
2,0,1,0,0,31,0
2,1,0,0,2,37,0
2,1,1,2,4,77,1
2,0,1,0,2,41,0
2,0,0,0,2,44,0
2,0,1,0,2,47,0
2,0,1,0,2,53,0
2,1,1,2,1,52,1
2,0,1,0,2,27,0
2,1,0,0,2,33,0
2,1,1,3,1,73,0
2,1,0,2,1,80,0
2,1,1,1,3,64,0
2,1,1,0,2,29,0
2,1,0,0,2,34,0
2,0,1,0,2,34,0
2,0,0,0,2,35,0
2,1,0,2,2,55,0
2,1,1,1,0,45,0
2,1,0,0,1,8,0
2,1,0,0,1,13,0
2,0,0,2,2,45,0
2,0,1,1,2,44,0
2,0,0,0,1,10,0
2,0,0,0,1,12,0
2,0,0,0,1,21,0
2,0,0,2,2,40,0
2,0,1,1,3,31,0
2,0,1,0,1,9,0
2,0,0,0,1,13,0
2,1,0,2,2,45,0
2,1,1,1,2,42,0
2,1,0,0,1,13,0
2,0,0,0,1,8,0
2,1,1,2,0,77,1
2,1,1,0,1,45,0
2,1,1,2,2,46,0
2,0,1,0,1,20,0
2,1,1,0,1,19,0
2,0,0,0,1,8,0
2,0,0,2,1,68,0
2,0,1,1,4,58,0
2,0,0,0,2,25,0
2,0,0,2,5,68,0
2,0,1,1,4,58,0
2,0,0,0,2,24,0
2,0,0,2,4,34,0
2,1,1,1,1,34,0
2,0,0,0,1,14,0
2,0,0,0,1,7,0
2,1,0,2,2,44,0
2,1,1,1,1,44,1
2,1,0,0,1,15,0
2,1,1,0,1,10,0
2,1,0,2,4,68,0
2,1,1,1,1,62,0
2,1,0,0,5,31,0
2,1,0,0,2,27,0
2,1,0,2,4,50,0
2,1,1,1,1,40,0
2,1,0,0,1,18,0
2,1,0,0,1,15,0
2,1,0,0,1,10,0
2,1,0,2,4,45,0
2,1,1,1,1,37,0
2,1,1,0,1,12,0
2,1,1,0,1,3,0
2,1,0,0,1,2,0
2,1,0,2,2,52,0
2,1,1,1,5,38,0
2,1,0,0,1,14,0
2,1,1,0,1,12,0
2,1,0,2,3,57,0
2,1,1,1,4,51,0
2,1,0,0,1,23,0
2,1,0,0,1,20,0
2,1,1,0,1,17,0
2,1,1,0,1,11,0
2,1,0,2,2,70,0
2,1,1,1,0,63,0
2,1,0,0,5,42,0
2,1,0,0,0,27,0
2,1,0,0,1,18,0
2,1,0,2,5,55,0
2,1,0,0,5,28,0
2,1,0,0,5,23,0
2,1,0,0,0,20,0
2,1,0,2,3,75,0
2,1,1,1,3,52,0
2,1,0,0,2,33,0
2,1,1,0,2,22,0
2,1,0,0,1,17,0
2,1,0,3,3,28,0
2,1,0,2,5,66,0
2,1,1,1,3,59,0
2,1,0,0,3,27,0
2,1,0,0,1,14,0
2,1,0,2,3,42,0
2,1,1,1,3,43,0
2,1,1,0,1,14,0
2,1,1,0,1,12,0
2,1,0,0,1,10,0
2,1,0,2,5,74,0
2,1,1,1,1,66,1
2,1,0,0,3,44,0
2,0,0,2,3,25,0
2,1,1,3,1,54,0
2,0,1,3,3,22,0
2,1,0,2,0,69,0
2,1,1,1,0,65,0
2,1,0,3,1,67,0
2,0,0,2,0,48,0
2,1,1,1,4,51,0
2,0,1,0,2,30,1
2,0,1,0,2,28,0
2,1,1,0,1,20,0
2,1,1,0,1,14,0
2,1,1,0,1,12,0
2,0,0,2,4,56,0
2,0,1,1,4,51,0
2,1,1,0,2,27,0
2,1,1,0,1,16,0
2,1,1,3,5,88,0
2,1,0,2,2,53,0
2,1,1,1,2,48,0
2,0,0,0,2,28,0
2,1,1,0,2,23,0
2,1,1,0,2,23,0
2,1,1,0,1,17,0
2,1,0,0,1,6,0
2,0,0,2,2,44,0
2,1,1,1,1,43,1
2,1,0,0,1,20,0
2,1,0,0,1,18,0
2,1,0,0,1,14,0
2,0,0,2,2,43,0
2,1,1,1,1,41,0
2,1,0,0,1,16,0
2,1,0,0,1,13,0
2,1,1,0,1,7,0
2,1,0,2,3,42,0
2,1,1,1,2,38,0
2,1,1,0,1,13,0
2,1,1,0,1,10,0
2,0,0,0,1,6,0
2,1,1,0,1,4,0
2,1,0,2,2,50,0
2,1,1,1,4,48,0
2,1,1,0,2,20,0
2,1,0,0,1,18,0
2,1,1,3,1,81,0
2,1,0,2,2,40,0
2,1,1,1,2,35,0
2,1,0,0,1,11,0
2,1,1,0,1,9,0
2,0,1,0,1,4,0
2,1,0,2,4,44,0
2,1,1,1,0,42,0
2,1,1,0,1,16,0
2,1,1,0,1,13,0
2,1,0,2,5,63,0
2,0,1,1,3,59,0
2,1,1,3,1,86,0
2,1,0,2,5,49,0
2,1,1,1,5,49,0
2,0,0,0,3,28,0
2,1,1,0,1,16,0
2,1,0,0,1,14,0
2,1,1,2,5,58,1
2,1,1,0,5,36,0
2,1,1,0,5,34,0
2,1,1,0,5,30,0
2,1,0,0,5,27,0
