"No","Kecamatan","DesilKesejahteraan","PrioritasVerval","JenisKelamin","HubungaKepalaKeluarga","Pekerjaan","Usia2023","PenerimaSEMBAKO"
"47881","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","3","52","Tidak"
"47882","KOTA KUDUS","1","Normal","Perempuan","Istri","1","49","Tidak"
"47883","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","22","Tidak"
"47884","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","1","62","Tidak"
"47885","KOTA KUDUS","1","Normal","Perempuan","Istri","1","53","Tidak"
"47886","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","44","Tidak"
"47887","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","0","41","Tidak"
"47888","KOTA KUDUS","1","Normal","Perempuan","Anak","2","19","Tidak"
"47889","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","11","Tidak"
"47890","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","67","Tidak"
"47891","KOTA KUDUS","1","Normal","Perempuan","Istri","0","63","Tidak"
"47892","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","3","56","Tidak"
"47893","KOTA KUDUS","1","Normal","Perempuan","Istri","4","55","Ya"
"47894","KOTA KUDUS","1","Normal","Perempuan","Anak","3","28","Tidak"
"47895","KOTA KUDUS","1","Normal","Perempuan","Lainnya","1","87","Ya"
"47896","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","58","Tidak"
"47897","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","0","55","Tidak"
"47898","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","29","Tidak"
"47899","KOTA KUDUS","1","Normal","Perempuan","Anak","3","22","Tidak"
"47900","KOTA KUDUS","1","Normal","Perempuan","Kepala Keluarga","1","53","Ya"
"47901","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","31","Tidak"
"47902","KOTA KUDUS","1","Normal","Laki-laki","Anak","4","30","Tidak"
"47903","KOTA KUDUS","1","Normal","Laki-laki","Anak","4","24","Tidak"
"47904","KOTA KUDUS","1","Normal","Laki-laki","Anak","3","21","Tidak"
"47905","KOTA KUDUS","1","Normal","Perempuan","Anak","1","13","Tidak"
"47906","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","4","71","Tidak"
"47907","KOTA KUDUS","1","Normal","Perempuan","Istri","4","58","Tidak"
"47908","KOTA KUDUS","1","Normal","Laki-laki","Anak","0","40","Tidak"
"47909","KOTA KUDUS","1","Normal","Laki-laki","Anak","4","26","Tidak"
"47910","KOTA KUDUS","1","Normal","Perempuan","Anak","1","21","Tidak"
"47911","KOTA KUDUS","1","Normal","Perempuan","Lainnya","0","58","Tidak"
"47912","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","50","Tidak"
"47913","KOTA KUDUS","1","Normal","Perempuan","Istri","2","51","Tidak"
"47914","KOTA KUDUS","1","Normal","Laki-laki","Anak","3","22","Tidak"
"47915","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","20","Tidak"
"47916","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","3","40","Tidak"
"47917","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","40","Tidak"
"47918","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","11","Tidak"
"47919","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","10","Tidak"
"47920","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","8","Tidak"
"47921","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","6","Tidak"
"47922","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","4","64","Tidak"
"47923","KOTA KUDUS","1","Normal","Perempuan","Istri","1","52","Tidak"
"47924","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","22","Tidak"
"47925","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","19","Tidak"
"47926","KOTA KUDUS","1","Normal","Perempuan","Anak","1","11","Tidak"
"47927","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","38","Tidak"
"47928","KOTA KUDUS","1","Normal","Perempuan","Istri","1","28","Tidak"
"47929","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","8","Tidak"
"47930","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","3","48","Tidak"
"47931","KOTA KUDUS","1","Normal","Perempuan","Istri","1","41","Tidak"
"47932","KOTA KUDUS","1","Normal","Perempuan","Anak","1","20","Tidak"
"47933","KOTA KUDUS","1","Normal","Perempuan","Anak","1","11","Tidak"
"47934","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","9","Tidak"
"47935","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","53","Tidak"
"47936","KOTA KUDUS","1","Normal","Perempuan","Istri","0","34","Tidak"
"47937","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","9","Tidak"
"47938","KOTA KUDUS","1","Normal","Perempuan","Kepala Keluarga","1","88","Ya"
"47939","KOTA KUDUS","1","Normal","Perempuan","Anak","0","51","Tidak"
"47940","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","52","Tidak"
"47941","KOTA KUDUS","1","Normal","Perempuan","Istri","1","39","Tidak"
"47942","KOTA KUDUS","1","Normal","Perempuan","Anak","2","26","Tidak"
"47943","KOTA KUDUS","1","Normal","Perempuan","Anak","1","22","Tidak"
"47944","KOTA KUDUS","1","Normal","Perempuan","Anak","1","12","Tidak"
"47945","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","3","57","Tidak"
"47946","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","50","Tidak"
"47947","KOTA KUDUS","1","Normal","Perempuan","Anak","1","23","Tidak"
"47948","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","71","Tidak"
"47949","KOTA KUDUS","1","Normal","Perempuan","Istri","0","69","Ya"
"47950","KOTA KUDUS","1","Normal","Perempuan","Anak","1","30","Tidak"
"47951","KOTA KUDUS","1","NIK Duplikat","Perempuan","Kepala Keluarga","0","46","Ya"
"47952","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","21","Ya"
"47953","KOTA KUDUS","1","Normal","Perempuan","Anak","1","9","Tidak"
"47954","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","62","Tidak"
"47955","KOTA KUDUS","1","Normal","Perempuan","Istri","1","55","Ya"
"47956","KOTA KUDUS","1","Normal","Laki-laki","Anak","0","22","Tidak"
"47957","KOTA KUDUS","1","Normal","Perempuan","Anak","2","17","Tidak"
"47958","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","15","Tidak"
"47959","KOTA KUDUS","1","Normal","Perempuan","Lainnya","1","41","Tidak"
"47960","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","56","Tidak"
"47961","KOTA KUDUS","1","Normal","Perempuan","Istri","0","52","Ya"
"47962","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","2","24","Tidak"
"47963","KOTA KUDUS","1","Normal","Perempuan","Anak","1","18","Tidak"
"47964","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","15","Tidak"
"47965","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","53","Tidak"
"47966","KOTA KUDUS","1","Normal","Perempuan","Istri","2","47","Tidak"
"47967","KOTA KUDUS","1","Normal","Perempuan","Anak","2","24","Tidak"
"47968","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","17","Tidak"
"47969","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","47","Tidak"
"47970","KOTA KUDUS","1","Normal","Perempuan","Istri","1","44","Tidak"
"47971","KOTA KUDUS","1","Normal","Perempuan","Anak","1","12","Tidak"
"47972","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","6","Tidak"
"47973","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","64","Tidak"
"47974","KOTA KUDUS","1","Normal","Perempuan","Istri","1","57","Ya"
"47975","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","44","Tidak"
"47976","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","40","Tidak"
"47977","KOTA KUDUS","1","Normal","Perempuan","Istri","5","41","Tidak"
"47978","KOTA KUDUS","1","Normal","Perempuan","Anak","1","14","Tidak"
"47979","KOTA KUDUS","1","Normal","Perempuan","Anak","1","10","Tidak"
"47980","KOTA KUDUS","1","Normal","Perempuan","Anak","1","1","Tidak"
"47981","KOTA KUDUS","1","Normal","Perempuan","Lainnya","1","68","Tidak"
"47982","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","61","Tidak"
"47983","KOTA KUDUS","1","Normal","Perempuan","Istri","2","48","Ya"
"47984","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","29","Tidak"
"47985","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","23","Tidak"
"47986","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","69","Tidak"
"47987","KOTA KUDUS","1","Normal","Perempuan","Istri","0","67","Ya"
"47988","KOTA KUDUS","1","Normal","Laki-laki","Anak","0","39","Tidak"
"47989","KOTA KUDUS","1","Normal","Laki-laki","Anak","0","36","Tidak"
"47990","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","1","71","Tidak"
"47991","KOTA KUDUS","1","Normal","Perempuan","Istri","1","67","Ya"
"47992","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","1","63","Tidak"
"47993","KOTA KUDUS","1","Normal","Perempuan","Istri","1","58","Ya"
"47994","KOTA KUDUS","1","Normal","Perempuan","Anak","2","31","Tidak"
"47995","KOTA KUDUS","1","Normal","Laki-laki","Anak","0","30","Tidak"
"47996","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","27","Tidak"
"47997","KOTA KUDUS","1","Normal","Perempuan","Anak","2","24","Tidak"
"47998","KOTA KUDUS","1","Normal","Perempuan","Anak","1","20","Tidak"
"47999","KOTA KUDUS","1","Normal","Perempuan","Anak","1","18","Tidak"
"48000","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","4","47","Tidak"
"48001","KOTA KUDUS","1","Normal","Perempuan","Istri","1","42","Ya"
"48002","KOTA KUDUS","1","Normal","Perempuan","Anak","1","18","Tidak"
"48003","KOTA KUDUS","1","Normal","Perempuan","Anak","1","14","Tidak"
"48004","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","9","Tidak"
"48005","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","2","48","Ya"
"48006","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","4","45","Tidak"
"48007","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","2","22","Tidak"
"48008","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","13","Tidak"
"48009","KOTA KUDUS","1","NIK Duplikat","Perempuan","Lainnya","1","65","Tidak"
"48010","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","2","46","Tidak"
"48011","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","45","Tidak"
"48012","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","23","Tidak"
"48013","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","18","Tidak"
"48014","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","12","Tidak"
"48015","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","4","53","Tidak"
"48016","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","44","Ya"
"48017","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","22","Tidak"
"48018","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","18","Tidak"
"48019","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","10","Tidak"
"48020","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","4","44","Tidak"
"48021","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","5","39","Tidak"
"48022","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","15","Tidak"
"48023","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","9","Tidak"
"48024","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","38","Tidak"
"48025","KOTA KUDUS","1","Normal","Perempuan","Istri","1","37","Tidak"
"48026","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","14","Tidak"
"48027","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","11","Tidak"
"48028","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","36","Tidak"
"48029","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","31","Tidak"
"48030","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","8","Tidak"
"48031","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","4","Tidak"
"48032","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","5","65","Tidak"
"48033","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","65","Ya"
"48034","KOTA KUDUS","1","NIK Duplikat","Perempuan","Lainnya","1","87","Tidak"
"48035","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","2","51","Tidak"
"48036","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","43","Tidak"
"48037","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","23","Tidak"
"48038","KOTA KUDUS","1","Normal","Perempuan","Anak","1","21","Tidak"
"48039","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","14","Tidak"
"48040","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","41","Tidak"
"48041","KOTA KUDUS","1","Normal","Perempuan","Istri","1","41","Tidak"
"48042","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","20","Tidak"
"48043","KOTA KUDUS","1","Normal","Perempuan","Anak","1","16","Tidak"
"48044","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","13","Tidak"
"48045","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","11","Tidak"
"48046","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","7","Tidak"
"48047","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","5","Tidak"
"48048","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","3","44","Tidak"
"48049","KOTA KUDUS","1","Normal","Perempuan","Istri","2","39","Ya"
"48050","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","15","Tidak"
"48051","KOTA KUDUS","1","Normal","Perempuan","Anak","1","11","Tidak"
"48052","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","7","Tidak"
"48053","KOTA KUDUS","1","Normal","Perempuan","Kepala Keluarga","5","66","Ya"
"48054","KOTA KUDUS","1","Normal","Laki-laki","Anak","5","20","Tidak"
"48055","KOTA KUDUS","1","Normal","Laki-laki","Lainnya","1","88","Tidak"
"48056","KOTA KUDUS","1","Normal","Perempuan","Kepala Keluarga","2","45","Ya"
"48057","KOTA KUDUS","1","Normal","Perempuan","Anak","2","23","Tidak"
